symbol,source,n_slim,n_censored,pct_censored
CO,vannmiljo,813,6,0.7
CO,ices-dome,2996,17,0.6
CO,mudab,1872,6,0.3
CO,mareano,3254,0,0
CO,ALL,8935,29,0.3
CU,4demon,1742,47,2.7
CU,ices-dome,20681,523,2.5
CU,vannmiljo,30303,419,1.4
CU,mudab,8876,23,0.3
CU,mareano,3280,3,0.1
CU,ALL,64882,1015,1.6
I,ices-dome,46,2,4.3
I,ALL,46,2,4.3
MN,mareano,3254,0,0
MN,vannmiljo,1662,0,0
MN,ices-dome,10866,1,0
MN,mudab,3980,0,0
MN,ALL,19762,1,0
MO,mareano,3138,2695,85.9
MO,mudab,2453,929,37.9
MO,ices-dome,2750,938,34.1
MO,vannmiljo,722,165,22.9
MO,ALL,9063,4727,52.2
SE,mudab,36,28,77.8
SE,mareano,2735,1906,69.7
SE,vannmiljo,203,137,67.5
SE,ices-dome,94,33,35.1
SE,ALL,3068,2104,68.6
ZN,vannmiljo,28314,81,0.3
ZN,ices-dome,20581,69,0.3
ZN,4demon,1786,6,0.3
ZN,mareano,3280,0,0
ZN,mudab,8827,0,0
ZN,ALL,62788,156,0.2
