symbol,cat,n_global,p50_global,p90_global,n_off10,p50_off10,p90_off10,p90_off20,p90_off50,shift_p90
CO,bulk,5403,8.2,13.5,3373,8.32,11.9,11.8,12.1,0.881
CO,sieved63,200,9.135,16.45,68,11.15,25.01,26.94,17.21,1.52
CO,sieved20,1260,15,29.5,923,16.8,32.67,34.82,21.92,1.107
CU,bulk,35645,18.1,86,5804,13.3,34,23,22.4,0.395
CU,sieved63,4679,19,46,1830,19.7,44.12,46.92,43.04,0.959
CU,sieved20,6407,33.5,73.91,3706,34.5,76,83.5,45,1.028
I,bulk,10,230.8,440.5,5,380.7,451.1,457.5,NA,1.024
I,sieved63,5,131,143,5,131,143,143,NA,1
MN,bulk,7924,300,952.7,4514,275.9,932.1,1050,1173,0.978
MN,sieved63,1481,597.2,1176,600,602.5,1265,1130,916.3,1.076
MN,sieved20,3360,1056,3686,2434,1152,4252,3354,2055,1.154
MO,bulk,928,1.96,17.59,339,1.19,2.908,2.6,2.6,0.165
MO,sieved63,198,0.7,1.815,122,0.9,4.55,3.928,10.12,2.507
MO,sieved20,1140,0.8,1.505,595,0.9,1.7,1.87,NA,1.13
SE,bulk,873,1.36,2.166,733,1.3,1.958,2,1.925,0.904
SE,sieved63,36,1.245,3.07,36,1.245,3.07,3.198,3.518,1
SE,sieved20,1,6,6,NA,NA,NA,NA,NA,NA
ZN,bulk,34918,60.6,220,6132,57.32,130,86.8,77.37,0.591
ZN,sieved63,4619,127,234.7,1790,129,232.1,238.5,185.6,0.989
ZN,sieved20,6299,255,738,3623,296.8,810.4,853.4,296.1,1.098
