symbol,cat,n,ef_p50,ef_p90,pct_lt1,pct_1_2,pct_2_5,pct_gt5,reliable
CO,bulk,4529,0.964,1.31,56,43,1,0,TRUE
CO,sieved63,70,1.02,2.1,49,40,11,0,TRUE
CO,sieved20,1052,0.973,1.99,52,38,10,0,TRUE
CU,bulk,8489,0.871,1.72,57,35,6,2,TRUE
CU,sieved63,4037,1.04,2.42,47,39,12,2,TRUE
CU,sieved20,4684,1.08,3.78,45,30,19,5,TRUE
MN,bulk,7060,0.908,3.21,56,27,12,5,TRUE
MN,sieved63,1340,0.892,2.15,58,30,10,2,TRUE
MN,sieved20,2590,0.927,3.64,53,24,17,6,TRUE
MO,bulk,614,1.38,6.51,36,27,22,15,TRUE
MO,sieved63,100,0.799,3.21,63,20,11,6,TRUE
MO,sieved20,711,0.823,1.75,64,30,6,0,TRUE
SE,bulk,859,1.05,2.32,44,43,8,5,TRUE
SE,sieved63,36,1,4.7,50,8,33,8,TRUE
ZN,bulk,9021,0.955,1.72,55,38,6,2,TRUE
ZN,sieved63,3935,1.06,2.16,45,43,10,2,TRUE
ZN,sieved20,4609,1.03,4.06,48,26,18,8,TRUE
