symbol,cat,n,lambda_bg,gm_bg,sd_bg_log,gm_en,sd_en_log,threshold,pct_bg,separated
CO,bulk,5403,0.525,6.217,0.304,9.009,0.104,6.451,31,FALSE
CO,sieved63,200,0.695,8.681,0.102,12.85,0.261,12.85,80,FALSE
CO,sieved20,1260,0.831,13.84,0.144,30.59,0.125,25.37,85,TRUE
CU,bulk,35645,0.579,14.64,0.372,27.77,0.609,27.77,66,FALSE
CU,sieved63,4679,0.443,17.33,0.095,24.1,0.324,23.61,67,FALSE
CU,sieved20,6407,0.167,27.72,0.083,36.56,0.254,27.72,35,FALSE
MN,bulk,7924,0.603,249.7,0.204,535.8,0.381,493.2,73,TRUE
MN,sieved63,1481,0.771,564.3,0.175,842.2,0.286,842.2,76,FALSE
MN,sieved20,3360,0.413,612.3,0.212,1748,0.338,955,45,TRUE
MO,bulk,928,0.506,1.087,0.23,6.583,0.502,2.446,56,TRUE
MO,sieved63,198,0.877,0.709,0.146,4.127,0.319,1.716,89,TRUE
MO,sieved20,1140,0.381,0.5788,0.065,1.029,0.171,0.7097,48,TRUE
SE,bulk,873,0.917,1.373,0.109,3.383,0.288,2.652,94,TRUE
ZN,bulk,34918,0.655,52.59,0.35,85.8,0.534,85.8,65,FALSE
ZN,sieved63,4619,0.704,125.5,0.132,150.8,0.363,150.8,67,FALSE
ZN,sieved20,6299,0.749,211.1,0.195,664.3,0.133,455.8,74,TRUE
