symbol,cat,n,pct_classifiable,n_classifiable,pct_ef,pct_strict,reliable
CO,bulk,5403,84,4529,56,20,TRUE
CO,sieved63,200,35,70,49,40,TRUE
CO,sieved20,1260,83,1052,52,52,TRUE
CU,bulk,35645,24,8489,57,54,TRUE
CU,sieved63,4679,86,4037,47,44,TRUE
CU,sieved20,6407,73,4684,45,30,TRUE
I,bulk,10,0,0,NA,NA,FALSE
I,sieved63,5,0,0,NA,NA,FALSE
MN,bulk,7924,89,7060,56,50,TRUE
MN,sieved63,1481,90,1340,58,55,TRUE
MN,sieved20,3360,77,2590,53,44,TRUE
MO,bulk,928,66,614,36,35,TRUE
MO,sieved63,198,51,100,63,63,TRUE
MO,sieved20,1140,62,711,64,47,TRUE
SE,bulk,873,98,859,44,44,TRUE
SE,sieved63,36,100,36,50,0,TRUE
SE,sieved20,1,0,0,NA,NA,FALSE
ZN,bulk,34918,26,9021,55,44,TRUE
ZN,sieved63,4619,85,3935,45,42,TRUE
ZN,sieved20,6299,73,4609,48,48,TRUE
