symbol,cat,gs_control,n_offshore,n_all,r2,rho,normalisable
CO,bulk,aluminium,2938,3392,0.584,0.812,TRUE
CO,sieved20,sieve,723,848,0.0131,0.336,
CU,bulk,aluminium,3127,3869,0.556,0.652,TRUE
CU,sieved63,sieve,869,2203,0.00322,0.462,
CU,sieved20,sieve,1754,2212,0.0822,-0.228,
MN,bulk,aluminium,3077,3704,0.0369,0.368,FALSE
MN,sieved63,sieve,415,1074,0.00574,0.336,
MN,sieved20,sieve,1727,2103,0.00495,0.107,
MO,bulk,aluminium,307,514,0.0966,-2e-4,FALSE
SE,bulk,aluminium,728,843,0.012,0.154,FALSE
ZN,bulk,aluminium,3148,4005,0.464,0.714,TRUE
ZN,sieved63,sieve,818,2139,7.56e-4,0.221,
ZN,sieved20,sieve,1719,2178,4.43e-5,-0.00992,
